,Rank,Name,Type,Episodes,Studio,Release_season,Tags,Rating,Release_year,Description,Related_anime,Voice_actors
320,321,Natsume's Book of Friends,TV   ,13.0,Brain's Base,Summer,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.19,2008.0,"""Natsume is lonely; he has an ability that separates him from others: he can see and interact with spirits. Soon, however, Natsume discovers that he’s not alone: his grandmother Reiko also had the gift. But things get hectic and possibly dangerous for Natsume when he finds out that he also inherited the 'Book of Friends', a book that contains the names of all the spirits Reiko defeated and subjugated. He finds himself hounded by his grandmother's underlings and, with the help of a 'cat' charm spirit, decides to free them from the Book's shackles, as well as protect the book from those who seek to misuse its power...""","Natsume's Book of Friends Season 2, Zoku Natsume Yuujinchou: 3D Nyanko-sensei Gekijou, Natsume's Book of Friends Season 3, Natsume's Book of Friends Season 4, Natsume's Book of Friends: Nyanko-sensei & The First Errand, Natsume Yuujinchou: Itsuka Yuki no Hi ni, Natsume's Book of Friends Season 5, Natsume's Book of Friends Season 6, Natsume's Book of Friends Movie: Ephemeral Bond, Natsume's Book of Friends Movie 2, Ichiban Kuji Natsume Yuujinchou: Nyanko-sensei to Hana Shirabe, Natsume Yuujinchou × Kumamoto-ken: Hitoyoshi/Kuma de no Yasashii Jikan","Nyanko-Sensei : Sanae Kobayashi, Takashi Natsume : Hiroshi Kamiya, Jun Sasada : Miyuki Sawashiro, Kaname Tanuma : Kazuma Horie, Kogitsune : Akiko Yajima, Touko Fujiwara : Miki Itou, Akagane : Atsushi Imaruoka, Akifumi'S Fiance : Ayumi Fujimura, Yuki Midorikawa
Original Creator, Takahiro Oomori
Director, Makoto Yoshimori
Music, Akira Takada
Character Design, Akiko Odawara
Producer, Masanori Miyake
Producer, Shuko Yokoyama
Producer, Ikuhide Ichikawa
Producer"
342,343,The Girl Who Leapt Through Time,Movie,,MADHOUSE,,"Romance, Sci Fi, Slice of Life, School Life, Time Travel, Based on a Novel",4.18,2006.0,"'Makoto Konno is a somewhat foolish and tomboyish high school student who spends most of her time hanging out with her two male friends. Things change one day when she suddenly gains the ability to leap through time! At first, she uses her newfound ability to do things such as preventing her sister from stealing her dessert, cheating on a test, and singing Karaoke for 10 hours. However, the small alterations she makes to the timeline turn out to have unforeseen consequences that snowball into dramatic and lethal situations for her and those around her...'",,"Chiaki Mamiya : Takuya Ishida, Makoto Konno : Riisa Naka, Kazuko Yoshiyama : Sachie Hara, Kousuke Tsuda : Mitsutaka Itakura, Yuri Hayakawa : Ayami Kakiuchi, Fukushima : Fumihiko Tachiki, Kaho Fujitani : Mitsuki Tanimura, Miyuki Konno : Yuki Sekido, Yasutaka Tsutsui
Original Creator, Mamoru Hosoda
Director, Tomohiko Itou
Assistant Director, Kiyoshi Yoshida
Music & Song Arrangement & Song Composition, Yoshiyuki Sadamoto
Character Design, Yoshihiro Tomita
Photography Director, Nizo Yamamoto
Art Director, Chikako Kamata
Color Design"
347,348,Nichijou: My Ordinary Life,TV   ,26.0,Kyoto Animation,Spring,"Comedy, Shounen, Slice of Life, Androids, Episodic, Gag, Robots, School Life, Slapstick, Based on a Manga",4.18,2011.0,"'Yuuko, Mio and Mai are regular high school girls who lead a normal everyday life. However, with bizarre explosions causing random objects to rain down on their heads, lunch turning into an epic battle between girl and wiener, and students riding to school on goats, their lives are anything but ordinary. Meanwhile android Nano spends her days wishing she were a normal human, but keeping house for her creator, the playful and immature child genius Hakase, dealing with talking cat Sakamoto, and trying to keep a hold of her multitude of easily-detachable body parts, her dream is far from a reality...'","Nichijou: My Ordinary Life Episode 0, Nichijou: My Ordinary Life Specials, Amemiya-san","Hakase : Hiromi Konno, Mai Minakami : Misuzu Togashi, Mio Naganohara : Mai Aizawa, Nano Shinonome : Shizuka Furuya, Sakamoto : Minoru Shiraishi, Yuuko Aioi : Mariko Honda, Izumi Sakurai : Mami Kosuge, Kenzaburou Daiku : Ryouta Yoshizaki, Keiichi Arawi
Original Creator, Tatsuya Ishihara
Director, Yuuji Nomi
Music, Futoshi Nishiya
Character Design, Kengo Shigemura
Editor, Naoko Yamada
Episode Director & Key Animator & Storyboard, Yoshiji Kigami
Episode Director & Storyboard, Junichi Uda
Key Animator"
368,369,In This Corner of the World,Movie,,MAPPA,,"Drama, Seinen, Slice of Life, Adult Couples, Family Life, Historical, Married Life, Poverty, War, World War 2, Based on a Manga",4.17,2016.0,"""Based on the award-winning manga by Fumiyo Kouno, In This Corner Of The World tells the emotional story of Suzu, a young girl from Hiroshima, who's just become a bride in the nearby city of Kure during World War II. Living with her husband's family, Suzu has to adjust to her new life, which is made especially difficult by regular air raids. But life must go on, and Suzu — through the help of her new family and neighbors — begins to discover the joys of everyday life in Kure. Much is gained in Kure, but with war, many things cherished are also lost.""",,"Shusaku Houjo : Yoshimasa Hosoya, Suzu Urano : Rena Nounen, Entarou Houjou : Shigeru Ushiyama, Harumi Kuromura : Natsuki Inaba, Keiko Kuromura : Minori Omi, San Houjou : Mayumi Shintani, Chita : Hiromi Seta, Doumoto : Kikuyo Semi, Fumiyo Kouno
Original Creator, Sunao Katabuchi
Director & Screenplay & Sound Director, Chie Uratani
Assistant Director, Kotringo
Music & Song Arrangement & Song Composition & Song Lyrics & Song Performance, Hidenori Matsubara
Animation Director & Character Design, Yuuya Kumazawa
Photography Director, Kousuke Hayashi
Art Director, Izumi Sakamoto
Color Design"
369,370,Whisper of the Heart,Movie,,Studio Ghibli,,"Comedy, Drama, Romance, Shoujo, Slice of Life, Coming of Age, Family Friendly, Based on a Manga",4.17,1995.0,"'Whisper of the Heart is a touching Ghibli slice-of-life story, about a young girl named Shizuku. While riding the train, she notices a fat cat riding alongside her. Following the cat, she finds a shop where she is told an enchanting story of a gold statue named ""The Baron"". WotH follows Shizuku in her struggles to grow, and her budding love with the shopkeeper\'s son.'",The Cat Returns,"Seiji Amasawa : Issei Takahashi, Shizuku Tsukishima : Youko Honna, Asako Tsukishima : Shigeru Muroi, Seiya Tsukishima : Takashi Tachibana, Shiho Tsukishima : Yorie Yamashita, Shiro Nishi : Keiju Kobayashi, Yuko Harada : Maiko Yoshiyama, Baron Humbert Von Gikkingen : Shigeru Tsuyuguchi, Aoi Hiiragi
Original Creator, Yoshifumi Kondou
Director, Masahiko Ootsuka
Assistant Director, Yuuji Nomi
Music, Kitarou Kousaka
Character Design, Toshio Suzuki
Producer, Hayao Miyazaki
Screenplay & Storyboard"
383,384,Laid-Back Camp,TV   ,12.0,C-Station,Winter,"Adventure, Comedy, Seinen, Slice of Life, Iyashikei, School Club, The Great Outdoors, Based on a Manga",4.16,2018.0,"""Nadeshiko, a high school student who had moved from Shizuoka to Yamanashi, decides to see the famous, 1000 yen-bill-featured Mount Fuji. Even though she manages to bike all the way to Motosu, she's forced to turn back because of worsening weather. Unable to set her eyes on her goal, she faints partway to her destination. When she wakes up, it's night, in a place she's never been before, with no way of knowing how to get home. Nadeshiko is saved when she encounters Rin, a girl who is out camping by herself. This outdoorsy girls story begins with this first encounter between Nadeshiko and Rin.""","Laid-Back Camp Specials, Laid-Back Camp: Katsudou Kiroku Eizou, Room Camp, Laid-Back Camp 2nd Season, Laid-Back Camp Movie","Aoi Inuyama : Aki Toyosaki, Chiaki Ohgaki : Sayuri Hara, Nadeshiko Kagamihara : Yumiri Hanamori, Rin Shima : Nao Touyama, Ena Saitou : Rie Takahashi, Minami Toba : Shizuka Itou, Sakura Kagamihara : Marina Inoue, Akari Inuyama : Risae Matsuda, Afro
Original Creator, Yoshiaki Kyougoku
Director & Episode Director & Storyboard, Jin Tanaka
Series Composition, Akiyuki Tateyama
Music, Mutsumi Sasaki
Character Design, Hiroaki Tanaka
Photography Director, Yoshimi Umino
Art Director, Taeko Mizuno
Color Design"
406,407,Miss Kobayashi's Dragon Maid,TV   ,13.0,Kyoto Animation,Winter,"Comedy, Fantasy, Seinen, Slice of Life, Animal Characteristics, Cohabitation, Contemporary Fantasy, Dragons, Maids, Monster Girls, Non-Human Protagonists, Reverse Isekai, Roommates, Urban Fantasy, Based on a Manga",4.15,2017.0,"""Miss Kobayashi is your average office worker who lives a boring life, alone in her small apartment–until she saves the life of a female dragon in distress. The dragon, named Tohru, has the ability to magically transform into an adorable human girl (albeit with horns and a long tail!), who will do anything to pay off her debt of gratitude, whether Miss Kobayashi likes it or not. With a very persistent and amorous dragon as a roommate, nothing comes easy, and Miss Kobayashi's normal life is about to go off the deep end!""","Miss Kobayashi's Dragon Maid Specials, Miss Kobayashi's Dragon Maid: Valentines and Hot Springs! (Please Don't Get Your Hopes Up), Miss Kobayashi's Dragon Maid S Short Animation Series, Miss Kobayashi's Dragon Maid S","Kanna Kamui : Maria Naganawa, Kobayashi : Mutsumi Tamura, Tohru : Yuuki Kuwahara, Elma : Yuuki Takada, Fafnir : Daisuke Ono, Lucoa : Minami Takahashi, Makoto Takiya : Yuuichi Nakamura, Riko Saikawa : Emiri Katou, Coolkyousinjya
Original Creator, Yasuhiro Takemoto
Director & Screenplay & Storyboard, Yuka Yamada
Screenplay & Series Composition & Storyboard, Masumi Itou
Music, Miku Kadowaki
Animation Director & Character Design, Akihiro Ura
Photography Director, Mikiko Watanabe
Art Director, Yuka Yoneda
Color Design"
414,415,Kiki's Delivery Service,Movie,,Studio Ghibli,,"Fantasy, Slice of Life, Apprenticeship, Europe, Family Friendly, Lifestyle Change, Magic, Witches, Based on a Novel",4.15,1989.0,"""Kiki is a young witch who has just turned thirteen, and as tradition dictates she must now leave the safety of her home for a year to undergo witch training. One clear night, Kiki takes off with her cat Jiji and her mother's broomstick to start her new life, and finds herself in a town near the ocean - but she's disappointed to find that people aren't nearly as friendly as she'd imagined they'd be. With nowhere to stay and no outstanding magical skills besides flying, Kiki begins to wonder if she's come to the right place; but after returning a pacifier to a customer of a local shop, its owner, Osono, offers her a place to stay. Kiki soon decides that she'll start her own delivery service, and with the help of newfound friends she sets forth on a journey to discover who she is and how to make it on her own.""",Hungry Days: Aoharu ka yo.,"Kiki : Minami Takayama, Tombo : Kappei Yamaguchi, Jiji : Rei Sakuma, Madame : Haruko Katou, Osono : Keiko Toda, Ursula : Minami Takayama, Bertha : Hiroko Seki, Fukuo : Kouichi Yamadera, Hayao Miyazaki
Producer & Director & Screenplay, Joe Hisaishi
Music, Katsuya Kondou
Character Design"
421,422,Non Non Biyori Movie: Vacation,Movie,,SILVER LINK.,,"Slice of Life, Countryside, Iyashikei, Based on a Manga",4.15,2018.0,"""Summer vacation might be coming to a close, but the adorable cast of\xa0Non Non Biyori\xa0is headed to Okinawa for some fun in the sun and a visit to the beach! The students of the super rural Asahigaoka branch school, all five of them, are eager to end their summer on a high note, making new friends and going on new adventures with the unbridled joy and adorable antics they're known for.""","Non Non Biyori, Non Non Biyori: Okinawa e Ikukoto ni Natta, Non Non Biyori Repeat, Non Non Biyori Repeat OVA, Non Non Biyori Nonstop","Hotaru Ichijou : Rie Murakawa, Komari Koshigaya : Kana Asumi, Natsumi Koshigaya : Ayane Sakura, Renge Miyauchi : Kotori Koiwai, Aoi Nizato : Shino Shimoji, Hikage Miyauchi : Misato Fukuen, Kaede Kagayama : Rina Satou, Kazuho Miyauchi : Kaori Nazuka, Atto
Original Creator, Shinya Kawatsura
Director, Hiromi Mizutani
Music, Mai Ootsuka
Character Design, Yoshikazu Beniya
Producer, Hayato Kaneko
Producer, Aya Iizuka
Producer, Mieko Tsuruta
Producer"
442,443,Teasing Master Takagi-san 2,TV   ,12.0,Shin-Ei Animation,Summer,"Comedy, Romance, Shounen, Slice of Life, Iyashikei, School Life, Based on a Manga",4.14,2019.0,"'Now in his second year of middle school, Nishikata still tries to outplay Takagi, but continues to fail miserably at his quest to get even.'","Teasing Master Takagi-san, Teasing Master Takagi-san OVA, Teasing Master Takagi-san Movie, Teasing Master Takagi-san 3","Nishikata : Yuuki Kaji, Takagi : Rie Takahashi, Mina Hibino : Konomi Kohara, Sanae Tsukimoto : Yui Ogura, Yukari Amakawa : M.A.O., Hamaguchi : Kouki Uchiyama, Houjou : Aoi Yuuki, Kimura : Fukushi Ochiai, Souichirou Yamamoto
Original Creator, Hiroaki Akagi
Director, Hiroaki Tsutsumi
Music, Aya Takano
Character Design, Reiko Sasaki
Producer, Kei Nishi
Producer, Takuma Kishida
Producer, Shinichi Omata
Storyboard"
447,448,Teasing Master Takagi-san 3,TV   ,,Shin-Ei Animation,Winter,"Comedy, Romance, Shounen, Slice of Life, Iyashikei, School Life, Based on a Manga",4.14,2022.0,'The third season of Teasing Master Takagi-san.',"Teasing Master Takagi-san, Teasing Master Takagi-san 2, Teasing Master Takagi-san Movie","Souichirou Yamamoto
Original Creator"
492,493,ReLIFE,Web  ,13.0,Double Eagle,Summer,"Comedy, Drama, Romance, Seinen, Slice of Life, Age Transformation, NEET, Psychological, School Life, Based on a Webtoon",4.12,2016.0,"'Arata Kaizaki (27) quit the job he landed after graduation in only three months. His life did not go well after that. Now his parents are threatening to stop sending money, and want him to come back to the country. He has no friend or girlfriend to share his troubles with...as he hits rock bottom a strange man named Ryo Yoake appears. Yoake invites Kaizaki to join a societal rehabilitation program for NEETs called ReLife. This program uses a mysterious drug to make him look younger, and sends him back to high school for a year...'","ReLIFE: Kanketsu-hen, ReLIFE: Kanketsu-hen Specials","An Onoya : Reina Ueda, Arata Kaizaki : Kensho Ono, Chizuru Hishiro : Ai Kayano, Kazuomi Ohga : Yuuma Uchida, Rena Kariu : Haruka Tomatsu, Ryo Yoake : Ryouhei Kimura, Akira Inukai : Noriaki Sugiyama, Honoka Tamarai : Himika Akaneya, Sou Yayoi
Original Creator, Satoru Kosaka
Director, Masayasu Tsuboguchi
Music, Junko Yamanaka
Character Design, Kazuki Adachi
Producer, Akihito Watanabe
Producer, Saya Fukida
Producer, Yuka Asano
Producer"
496,497,Daily Lives of High School Boys,TV   ,12.0,Sunrise,Winter,"Comedy, Shounen, Slice of Life, All-Boys School, Breaking the Fourth Wall, Episodic, Gag, School Life, Based on a Manga",4.12,2012.0,"""Join Tadakuni, Hidenori and Yoshitake as they undergo the trials and tribulations of life in high school. Each episode presents the boys and their classmates in unique situations that you may or may not have faced in high school yourself! You'll laugh! You'll cry! (But hopefully laugh more.) You'll be astounded by the zany antics of the Sanada High School community!""",Daily Lives of High School Boys Specials,"Hidenori Tabata : Tomokazu Sugita, Tadakuni : Miyu Irino, Yoshitake Tanaka : Kenichi Suzumura, Habara : Yukana, Ikushima : Chiwa Saitou, Literary Girl : Youko Hikasa, Mitsuo : Nobuhiko Okamoto, Motoharu : Daisuke Namikawa, Yasunobu Yamauchi
Original Creator, Shinji Takamatsu
Director, Audio Highs
Music, Yoshinori Yumoto
Character Design, Youhei Hayashi
Producer, Shou Tanaka
Producer, Ryuuta Wakanabe
Producer"
520,521,Welcome to the NHK!,TV   ,24.0,GONZO,Summer,"Comedy, Drama, Slice of Life, Dark Comedy, Loneliness, Mental Illness, NEET, Otaku Culture, Parody, Psychological, Satire, Based on a Light Novel, Mature Themes,, Nudity,, Suicide",4.11,2006.0,"'Tatsuhiro Sato is a university dropout and a ""hikikomori"" – a person suffering from social withdrawal. To Sato’s dismay, his self-imposed exile from the world is rudely interrupted when a mysterious girl knocks on his door. She has charged herself with the task of curing Sato of his hikikimori ways! Now, as new problems ranging from hentai games to internet suicide spring up, can Sato manage to overcome his hermit-like ways, or will the imaginary N.H.K conspiracy force him to remain a hikikomori forever?'",,"Misaki Nakahara : Yui Makino, Tatsuhiro Sato : Yutaka Koizumi, Hitomi Kashiwa : Sanae Kobayashi, Kaoru Yamazaki : Daisuke Sakaguchi, Megumi Kobayashi : Risa Hayamizu, Akira Jougasaki : Nobuo Tobita, Hideto Nomura : Atsushi Imaruoka, Kurokawa Kazuya : Yuuji Ueda, Tatsuhiko Takimoto
Original Creator, Yuusuke Yamamoto
Director, Pearl Brothers
Music, Takahiko Yoshida
Character Design, Satoshi Matsui
Producer, Makoto Chiba
Producer, Michio Fukuda
Storyboard"
527,528,Non Non Biyori Repeat,TV   ,12.0,SILVER LINK.,Summer,"Comedy, Seinen, Slice of Life, Countryside, Iyashikei, Lifestyle Change, School Life, Transfer Students, Based on a Manga",4.11,2015.0,"'The slow-paced yet heartwarming life of the four girls in the tiny Asahioka Branch School continues as Natsumi, Komari, Renge, and Hotaru attend school in the one-room schoolhouse that holds only 5 students. Although the laid-back environment and atmosphere is a big change for Hotaru, who came from bustling Tokyo, there’s just something charming and calming about life in the Japanese countryside.'","Non Non Biyori, Non Non Biyori: Okinawa e Ikukoto ni Natta, Non Non Biyori Repeat OVA, Non Non Biyori Movie: Vacation, Non Non Biyori Nonstop, Non Non Biyori Nonstop OVA","Hotaru Ichijou : Rie Murakawa, Komari Koshigaya : Kana Asumi, Natsumi Koshigaya : Ayane Sakura, Renge Miyauchi : Kotori Koiwai, Kaede Kagayama : Rina Satou, Kazuho Miyauchi : Kaori Nazuka, Suguru Koshigaya, Hikage Miyauchi : Misato Fukuen, Atto
Original Creator, Shinya Kawatsura
Director, Hiromi Mizutani
Music, Mai Ootsuka
Character Design, Yoshikazu Beniya
Producer, Shingo Yokota
Producer, Shinpei Yamashita
Producer, Keisuke Arai
Producer"
